,English,Malaysian,Indonesian,Unnamed: 3
408,potential,keupayaan,"potensial, daya berkemampuan",
409,Prague,Prague,Praha (also used in Malay),
410,prayer (Islam),"solat, sembahyang","salat (standard), shalat, sholat (from Arabic, 'sh' is usually pronounced as 's'), sembahyang",
411,prayer room (Islam),surau,"surau, musala, mushollah (from Arabic, 'sh' is usually pronounced as 's')",
412,precipitation (meteorology),kerpasan,"curah hujan, presipitasi",
413,prediction,ramalan,"prediksi, ramalan, prakiraan (not perkiraan estimation)",
414,pregnant,"mengandung, hamil (formal, from Arabic حَامِل), berbadan dua lit. ""two bodied"", bunting for animals","mengandung (formal),hamil (colloquial),berbadan dua (poetic), bunting (informal)",
415,premature,pramatang,"prematur, dini",
416,Preparation,Penyediaan,Persiapan,
417,preposition,kata sendi nama,"preposisi, kata depan",
418,press,"media massa, surat khabar (see above)","pers (from Dutch), media massa",
419,Private Limited Company,"Sendirian Berhad abbreviated as Sdn Bhd (suffix), ""sendirian"" alone means ""alone""",Perseroan Terbatas abbreviated as PT (prefix),
420,privatization,penswastaan,"privatisasi, swastanisasi, penswastaan",
421,producer,produsen,"produsen, penghasil",
422,product,keluaran,"produk (from English and Dutch product), hasil, keluaran (more specific term for outcome)",
423,programming (computer),pemrograman,pemrograman,
424,property (?),harta,properti,
425,propulsion,perejangan,"propulsi, pendorong, penggerak",
426,prostitute,"pelacur, perempuan sundal (vulgar)","pelacur, Wanita Tuna Susila (WTS) (Sanskrit, pronounced 'way-tay-es', i.e. ""moral-less women""), Pekerja Seks Komersial (PSK) (formal, pronounced 'pay-es-ka' (commercial sex workers)), perek (slang)",
427,prostitution,pelacuran,"prostitusi, pelacuran",
428,province,"wilayah (used in Indonesian to mean 'area'), daerah (used in Indonesian to mean 'area')",provinsi (from Dutch provincie),
429,publication,penerbitan,"penerbitan, publikasi, terbitan",
430,pulse,denyut,"denyut, pulsa",
431,"push, to (door)","tolak (It used as in tolak peluru (shot put) in Indonesian for this contex, used less primarily in Indonesian to mean 'subtract', it also means 'to refuse/reject', also common meaning in Malay when used in arithmetics)","dorong (means ""to push"" in Malay, but often used to mean ""to support"")",
432,queue (line),"barisan (means line ""formation"" in Indonesian)",antre,
433,rabbit,arnab (from Arabic),kelinci,
434,Random-Access Memory (RAM),Ingatan Capaian Rawak,Memori Akses Acak,
435,rape,rogol,perkosa,
436,raspberry,rasberi,"frambus, frambosen (from Dutch framboos)",
437,ratio,nisbah,"rasio, nisbah, perbandingan",
438,Read-Only Memory (ROM),Ingatan Baca Sahaja,Memori Hanya Baca,
439,real estate,hartanah,"realestat, properti tanah",
440,receipt,"resit, penerimaan","kuitansi, kwitansi (substandard, from Dutch kwitantie), resi, bon from Dutch, struk",
441,recession (economy),"kemelesetan (In Indonesian, it means ""mishit"")","resesi, kelesuan (ekonomi)",
442,reclamation,tebus guna,reklamasi,
443,recruitment,"pergerakan (In Indonesian, it means ""movement""), pengambilan (In Indonesian, it means ""taking"")","perekrutan, rekrutmen",
444,refraction,pembiasan,"pembiasan, refraksi",
445,refrigerator,peti sejuk lit. cool box (rarely used in Indonesian),"lemari es, lemari pendingin (lit. cooler closet), kulkas (from Dutch koelkast)",
446,religion,"agama, ugama (widely used before the 80s)","agama, kepercayaan",
447,renovation,pengubahsuaian,renovasi,
448,reproduction,pembiakan,"reproduksi, pembiakan (also means ""breeding"")",
449,research,kajian (means research or investigation result in Indonesian),"penelitian, riset",
450,responsibility,tanggungjawab,"tanggung jawab, pertanggungjawaban",
451,resistor,perintang,"resistor, hambatan, perintang",
452,restaurant,"kedai makan lit. ""eating shop"", restoran","rumah makan lit. ""eating house"", warung makan lit. ""eating café"", restoran",
453,retailing,peruncitan,"ritel, eceran",
454,ring (mathematics),gelanggang,"ring, gelanggang",
455,rob,"rompak (Indonesian for ""to commit piracy"")","rampok, rampas",
456,Rome,Rom,Roma,
457,room,"bilik (usually means ""compartment"" in Indonesian)","kamar (from Dutch kamer), ruang (Javanese, for storage areas etc.)",
458,roundabout (traffic),bulatan e.g. Bulatan DBP in Kuala Lumpur pusing keliling (in Brunei),bundaran e.g. Bundaran HI in Jakarta,
459,routing,penghalaan,penghalaan,
460,royal,diraja,"kerajaan (in Malaysia and Brunei means ""kingdom"" or ""government"")",
461,rubber,"getah may also mean gum or sap or resin in both languages, also figure of speech for ""cause of bad deed""",karet,
462,rumour,"khabar angin, desas-desus","rumor, desas-desus, kabar angin, kabar burung",
463,salty,masin,"asin, masin (rare)",
464,Sanskrit,Sanskrit,Sanskerta,
465,sauce,sos,saus,
466,sausage,sosej,sosis (from Dutch saucijs),
467,scenario,senario,skenario,
468,school (Islamic),sekolah pondok,"madrasah, pesantren, pondok pesantren",
469,science,sains,"ilmu (from Arabic 'ilm) (alam), sains (especially for ""natural science"")",
470,Scotland,Scotland,Skotlandia,
471,secret,rahsia,rahasia,
472,secretary,"setiausaha Indonesian lit. ""loyal to work""",sekretaris (from Dutch secretaris),
473,section,"seksyen, bahagian","seksi (from Dutch sectie), bagian",
474,sensor,"penderia, pengesan, sensor",sensor,
475,server (computing),pelayan,"server, peladen",
476,session,"sesyen, sesi",sesi (from Dutch sessie),
477,sewer,"saluran najis ""najis"" means dirty in both languages, saluran kumbahan","selokan, parit (means 'ditch' in Malay), got, saluran air/pembuangan",
478,sexagesimal,perenampuluhan,seksagesimal,
479,shampoo,"syampu (from Anglo-Indian / Hindustani chāmpo, the imperative form of (Hindi) चाँप्ना chāmpnā 'to smear, knead the muscles, massage')",sampo,
480,share (verb),"berkongsi (In Indonesian, it means ""creating trading company"" or ""plotting something bad"")",berbagi,
481,shirt,baju (also in Indonesian but more generally refers to clothes),"kaos, kemeja (from Portuguese camisa, implies collared shirt)",
482,shoe,"kasut generalized term for any footwear in Indonesian, but usually related to sandals or ancient shoes, sepatu","sepatu (understood but less frequently used in Malaysia, from Portuguese sapato)",
483,shop,kedai (Means eateries stall in Indonesia),"toko, warung, kedai",
484,shopping mall,pusat beli-belah,"mal, pusat perbelanjaan",
485,site (internet),tapak (means foundation (building) or footprint in Indonesia),situs,
486,Slovakia,Slovakia,Slowakia,
487,snow,salji (from Arabic thalj),salju (also from thalj),
488,sodomy,liwat (from Arabic),"sodomi, liwat (only used in Islamic text books)",
489,solar,"solar, suria (from Sanskrit 'surya')",surya,
490,solution,"penyelesaian, solusi (rare)","solusi, pemecahan, penyelesaian",
491,sour,masam,"asam, masam (poetic, usually used in connotative expressions: bermuka masam: sour faced (dissatisfied/unhappy expression))",
492,soya beans,kacang soya,(kacang) kedelai,
493,Spain,Sepanyol,Spanyol,
494,speak/talk,"berbicara, bercakap (means 'to chat' in Indonesian), bersembang, berborak","berbicara, ngomong (Javanese ngoko, colloquial)",
495,specialist,"perubatan, pakar","spesialis (in case of specialist doctor), pakar in general, it means expert",
496,spoon,sudu,sendok,
497,sport,sukan,"olahraga (means ""athletics"" Malay, from Sanskrit, lit. ""to train the body"")",
498,spouse,"pasangan suami-isteri, kelamin colloquial, in Indonesian means ""sex"" or ""gender""","pasangan (suami-istri), suami-istri (husband-wife)",
499,stability,kestabilan,"stabilitas, kestabilan",
500,stadium,stadium,"stadion, stadiun from Dutch",
501,staff,"kakitangan (phrase ""kaki tangan"" means subordinate with negative image in Indonesian)","staf, personil from Dutch personeel, pegawai",
502,stamp,setem,perangko,
503,standard,"piawai, standard",standar patokan,
504,starfish,tapak Sulaiman,bintang laut,
505,state (within a federation),negeri,negara bagian,
506,station,stesen,"stasiun (formerly spelled ""setasiun"")",
507,steering wheel,roda stereng,roda setir (from Dutch stuur),
508,stop (verb),berhenti,"berhenti, henti, stop",
509,strawberry,strawberi,"stroberi, arbei from Dutch aardbei",
510,stupid,"bodoh, bengap, tolol, bangang, bongok (slang)","bodoh, dungu, tolol, goblok (slang), very demeaning in Malay, geblek (slang), bego (slang)",
511,sublimation (phase transition),pemejalwapan,"sublimasi, penyubliman",
512,Sunday,Ahad,"Minggu (from Portuguese Domingo which means Lord's Day), Ahad (only used in Islamic calendar)",
513,sunglasses,"cermin mata gelap (In Indonesia, cermin means ""mirror"")","kacamata hitam (lit. black glasses), kacamata riben (from 'Ray-Ban' brand of sunglasses )",
514,supermarket,pasar raya,"supermarket, pasar swalayan (lit. self-service market)",
515,supervision,penyeliaan,"pengawasan, penyeliaan, supervisi",
516,survey,"tinjauan (means process or result of observation in Indonesian), kaji selidik",survei,
517,suspend (hang),menggantung (means 'hang' in Indonesian),menangguhkan (also 'adjourn' in Malay),
518,Sweden,Sweden,Swedia,
519,Switzerland,Switzerland,Swiss,
520,Syria,Syria,Suriah (from Arabic),
521,table (set of facts or figures),"jadual (Indonesian equivalent, jadwal, means ""schedule"")",tabel,
522,tank,kereta kebal,tank,
523,tap water,air paip (piped water),"air keran (from Dutch Kraan), air ledeng (""ledeng"" also means ""plumbing"", from Dutch ""leiding"")",
524,tapioca,"ubi kayu as in Indonesian, understood as the tuber cassava itself","(tepung) tapioka, tepung singkong",
525,taxi,teksi,taksi,
526,teacher,"cikgu, guru",guru,
527,"teacher (religious, Islam)","ustaz, ustad (ultimately from Persian اُستَاذ), ustadzah female","ustad, ustadzah",
528,team,pasukan used in Indonesian to refer to squad (military),tim,
529,telephone,telefon (formerly talipon),telepon,
530,television,"televisyen, TV","televisi (from Dutch televisie) , TV",
531,terms,terma,syarat,
532,terrorist,"pengganas (means ""rioter"" in Indonesian)",teroris,
533,terrorism,pengganasan,terorisme,
534,testicles,"buah zakar, testis, buah keranjut","testis, biji kemaluan, buah zakar (slang, vulgar), kanjut (slang, vulgar)",
535,Thailand,"Negara Thai, Siam, Thailand","Thailand, Siam, Muangthai used in old scripts",
536,The Hague,The Hague,Den Haag (from Dutch),
537,ticket,tiket,"tiket, karcis (from Dutch kaartje, usually refers to small-size ticket)",
538,time,"masa, waktu","waktu from Arabic الوقت (al-Waqt), masa (can be used for 'in a specific long period of time' in Indonesian)",
539,tire (US)/tyre (UK),tayar,ban (from Dutch [auto]band),
540,tofu,tauhu,"tahu, tofu",
541,toilet,"bilik air, tandas","toilet, kamar kecil, WC (pronounced 'way-say') for watercloset",
542,tornado,puting beliung,"puting beliung, angin puyuh, tornado",
543,toothpaste,ubat gigi,"pasta gigi, odol",
544,towel,tuala (from Portuguese toalha),handuk (from Dutch handdoek),
545,traffic jam,"kesesakan lalulintas, jam (slang)","kemacetan, macet",
546,traffic light,"lampu isyarat (In Indonesian, isyarat means sign)",lampu lalu-lintas,
547,train,"kereta api, tren",kereta (api),
548,"transport, transportation",pengangkutan,"transportasi, pengangkutan, perhubungan (in case of Ministry of Transportation)",
549,transsexual,"pondan, bapok (slang), transseksual","transseksual, waria (polite) a shortened form of wanita-pria , bencong, banci",
550,tree,"pokok in Indonesian means ""principal"" or ""core"" or ""staple"", in Sundanese poko means authentic, e.g. authentic cuisine, pohon",pohon,
551,trillion (1012),trilion,"trilyun, triliun (from Dutch pronunciation; starting with 1012, Indonesian uses the short scale)",
552,try,cuba,coba,
553,turkey (bird),ayam belanda,(ayam) kalkun (from Dutch kalkoen),
554,turn,"pusing (means 'to spin' in Indonesian, commonly used to mean dizzy as a short form of kepala pusing), belok","belok, putar",
555,ugly,"hodoh, teruk, buruk","jelek, buruk",
556,Ukraine,Ukraine,Ukraina,
557,uncle,pakcik,"paman, oom, om (derived from Dutch, pronounced and sometimes spelt oom)",
558,union,"kesatuan (in Indonesian means ""unitary"")","persatuan, uni, serikat",
559,United Arab Emirates,Emiriah Arab Bersatu,Uni Emirat Arab,
560,United Kingdom,United Kingdom,Inggris Raya,
561,United Nations,Pertubuhan Bangsa-Bangsa Bersatu,Perserikatan Bangsa-Bangsa,
562,United States of America (USA) United States (US),Amerika Syarikat,Amerika Serikat (AS),
563,university,universiti,universitas,
564,until,"sehingga (means 'thus' in Indonesian), sampai","hingga, sampai",
565,vagina,"faraj (from Arabic, in Indonesian means ""vulva""), pepek/pepet (slang)","alat kelamin wanita, liang peranakan, vagina, farji, memek (slang, vulgar), pepek (slang, vulgar)",
566,variable (mathematics),pemboleh ubah,"variabel, peubah",
567,Vatican City,Vatican City,(Kota) Vatikan,
568,Venice,Venice,Venesia (influenced by Dutch Venetië),
569,verb,kata kerja,"kata kerja (influenced by Dutch werkwoord, lit. ""work word""), verba",
570,verification,"pengesahan (means ""validation"" in Indonesian)",verifikasi,
571,very,"sangat, amat, sekali","sangat, amat, sekali, banget (from Javanese ngoko)",
572,vice (deputy),naib,"wakil, naib (less common)",
573,victim,"mangsa in Indonesian means ""prey""",korban,
574,Vienna,Vienna,Wina (influenced by Dutch Wenen),
575,violet (colour),lembayung,"violet, ungu, lembayung (rarely used)",
576,virgin,"(anak) dara, (anak) gadis, perawan","perawan (formal), gadis, (anak) dara",
577,viscosity,kelikatan,"viskositas, kekentalan",
578,visit,"lawatan, pelancongan","wisata, kunjungan, pelancongan, lawatan (to foreign country, sick person or dead person)",
579,volleyball,bola tampar,bola voli,
580,volume (math),isi padu,"volume, ruang, isi",
581,voucher,baucer,vocer,
582,want,mahu,"mau, ingin",
583,warden,"warden, penjaga penjara",sipir (penjara) (from Dutch cipier),
584,Warsaw,Warsaw,Warsawa,
585,website,"laman web, laman sesawang","situs web, laman web",
586,weekend,hujung minggu,"akhir pekan, akhir minggu",
587,well (water hole),perigi,"sumur, perigi (rarely used)",
588,wheelchair,kerusi roda,kursi roda,
589,when,"bila, apabila, ketika, bilamana (rarely used)","kapan, bilamana, (question word) bila, ketika",
590,window,"tingkap, jendela","jendela (from Portuguese janela), tingkap (less common)",
591,"windscreen, windshield",cermin kereta,kaca depan (mobil),
592,wire,"dawai, wayar","kawat (e.g. copper wire), kabel (e.g. electrical wire, cable)",
593,you,"anda (very formal), awak, kamu, engkau, kau","anda (everyday formal), kamu (familiar only), engkau ('kau) (prose), elu/loe (very vulgar Betawi slang, influenced by Chinese dialect leu)",
594,zero,sifar,nol from Dutch nul,
595,zipper (fastener),zip,resleting from Dutch ritssluiting,
596,zone,zon,"daerah, zona",
597,zoo,"zoo, taman haiwan (kebun binatang was also frequently used in Malaysia before the mid-1960s)","kebun binatang (derived from Dutch dierentuin, lit. ""animal garden""), taman margasatwa (more formal form for zoological park)",
